"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"161","Bartlomiej Smolarczyk",21,"Centre-Back","Korona Kielce",0,"30.06.2027","PKO BP Ekstraklasa"
"162","Bartlomiej Wandachowicz",18,"Midfield","Zaglebie Lubin II",45,"-","Betclic 2 Liga"
"163","Bartlomiej Wasiluk",29,"Defensive Midfield","Resovia Rzeszow",568,"30.06.2025","Betclic 2 Liga"
"164","Bartlomiej Zynel",26,"Goalkeeper","Jagiellonia Bialystok",0,"30.06.2026","PKO BP Ekstraklasa"
"165","Bartosz Baranowicz",21,"Defensive Midfield","GKS Katowice",45,"30.06.2025","PKO BP Ekstraklasa"
"166","Bartosz Bida",23,"Left Winger","Miedz Legnica",0,"30.06.2026","Betclic 1 Liga"
"167","Bartosz Biedrzycki",21,"Left Midfield","Cracovia",71,"30.06.2027","PKO BP Ekstraklasa"
"168","Bartosz Biel",30,"Attacking Midfield","Chrobry Glogow",208,"30.06.2025","Betclic 1 Liga"
"169","Bartosz Bieronski",18,"Attack","Podbeskidzie Bielsko-Biala",117,"30.06.2026","Betclic 2 Liga"
"170","Bartosz Borkowski",17,"Defensive Midfield","Pogon Siedlce",0,"30.06.2026","Betclic 1 Liga"
"171","Bartosz Borkowski",18,"Right Winger","Lechia Gdansk",0,"31.12.2026","PKO BP Ekstraklasa"
"172","Bartosz Borowski",17,"Centre-Forward","Wisla Plock",4,"30.06.2025","Betclic 1 Liga"
"173","Bartosz Borun",24,"Right Midfield","Zaglebie Sosnowiec",267,"30.06.2026","Betclic 2 Liga"
"174","Bartosz Brylowski",20,"Centre-Back","Lechia Gdansk",0,"30.06.2025","PKO BP Ekstraklasa"
"175","Bartosz Brzek",15,"Centre-Back","GKS Tychy",0,"-","Betclic 1 Liga"
"176","Bartosz Brzek",18,"Right-Back","Wieczysta Krakow",613,"30.06.2025","Betclic 2 Liga"
"177","Bartosz Checinski",20,"Defensive Midfield","Zaglebie Sosnowiec",90,"30.06.2025","Betclic 2 Liga"
"178","Bartosz Falbierski",18,"Central Midfield","Polonia Warsaw",0,"30.06.2026","Betclic 1 Liga"
"179","Bartosz Farbiszewski",21,"Centre-Back","Bruk-Bet Termalica Nieciecza",27,"30.06.2025","Betclic 1 Liga"
"180","Bartosz Florek",20,"Centre-Forward","Podbeskidzie Bielsko-Biala",269,"30.06.2026","Betclic 2 Liga"
"181","Bartosz Gesior",26,"Centre-Back","KKS 1925 Kalisz",0,"30.06.2024","Betclic 2 Liga"
"182","Bartosz Glogowski",18,"Goalkeeper","Slask Wroclaw",0,"30.06.2025","PKO BP Ekstraklasa"
"183","Bartosz Guzdek",22,"Centre-Forward","Wisla Pulawy",605,"30.06.2025","Betclic 2 Liga"
"184","Bartosz Jaroch",29,"Right-Back","Wisla Kraków",1051,"30.06.2025","Betclic 1 Liga"
"185","Bartosz Jaroszek",30,"Centre-Back","GKS Katowice",0,"30.06.2025","PKO BP Ekstraklasa"
"186","Bartosz Kapustka",27,"Attacking Midfield","Legia Warszawa",912,"30.06.2026","PKO BP Ekstraklasa"
"187","Bartosz Kieliba",34,"Centre-Back","KKS 1925 Kalisz",648,"30.06.2024","Betclic 2 Liga"
"188","Bartosz Klebaniuk",22,"Goalkeeper","Znicz Pruszkow",0,"30.06.2025","Betclic 1 Liga"
"189","Bartosz Kopacz",32,"Right-Back","Zaglebie Lubin",116,"30.06.2025","PKO BP Ekstraklasa"
"190","Bartosz Kwiecien",30,"Centre-Back","Miedz Legnica",538,"30.06.2026","Betclic 1 Liga"
"191","Bartosz Leszczynski",19,"Defender","Olimpia Elblag",0,"-","Betclic 2 Liga"
"192","Bartosz Martosz",17,"Attack","Podbeskidzie Bielsko-Biala",3,"-","Betclic 2 Liga"
"193","Bartosz Moczynski",18,"Defender","Zaglebie Lubin II",73,"-","Betclic 2 Liga"
"194","Bartosz Mrozek",24,"Goalkeeper","Lech Poznan",630,"30.06.2026","PKO BP Ekstraklasa"
"195","Bartosz Nowak",31,"Attacking Midfield","Raków Częstochowa",0,"30.06.2027","PKO BP Ekstraklasa"
"197","Bartosz Nowak",31,"Attacking Midfield","GKS Katowice",336,"30.06.2027","PKO BP Ekstraklasa"
"199","Bartosz Paszczela",19,"Centre-Forward","Zaglebie Sosnowiec",107,"-","Betclic 2 Liga"
"200","Bartosz Pikul",26,"Right Midfield","Chojniczanka Chojnice",413,"-","Betclic 2 Liga"
"201","Bartosz Pioterczak",17,"Central Midfield","Stal Stalowa Wola",194,"30.06.2025","Betclic 1 Liga"
"202","Bartosz Rokita",18,"Midfield","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"203","Bartosz Salamon",33,"Centre-Back","Lech Poznan",1,"30.06.2026","PKO BP Ekstraklasa"
"204","Bartosz Snopczynski",23,"Centre-Forward","Zaglebie Sosnowiec",365,"30.06.2025","Betclic 2 Liga"
"205","Bartosz Spiaczka",33,"Centre-Forward","GKS Tychy",564,"30.06.2025","Betclic 1 Liga"
"206","Bartosz Szeliga",31,"Right Midfield","Warta Poznan",611,"30.06.2026","Betclic 1 Liga"
"207","Bartosz Talar",21,"Right Winger","Wisla Kraków",0,"30.06.2026","Betclic 1 Liga"
"208","Bartosz Tomaszewski",19,"Centre-Back","Stal Stalowa Wola",55,"30.06.2025","Betclic 1 Liga"
"209","Bartosz Warszakowski",17,"Goalkeeper","Skra Czestochowa",180,"-","Betclic 2 Liga"
"210","Bartosz Wicenciak",21,"Attacking Midfield","Pogon Siedlce",0,"30.06.2025","Betclic 1 Liga"
"211","Bartosz Wiktoruk",25,"Central Midfield","Wisla Pulawy",513,"30.06.2025","Betclic 2 Liga"
"212","Bartosz Wolski",27,"Attacking Midfield","Motor Lublin",540,"30.06.2025","PKO BP Ekstraklasa"
"213","Bartosz Zawojski",18,"Defensive Midfield","Zaglebie Sosnowiec",138,"-","Betclic 2 Liga"
"214","Bartosz Zbiciak",23,"Centre-Back","Olimpia Grudziadz",621,"30.06.2025","Betclic 2 Liga"
"215","Bekzod Akhmedov",24,"Attacking Midfield","Gornik Leczna",4,"30.06.2025","Betclic 1 Liga"
"216","Ben Lederman",24,"Defensive Midfield","Raków Częstochowa",78,"30.06.2025","PKO BP Ekstraklasa"
"217","Benedik Mioc",29,"Attacking Midfield","Miedz Legnica",534,"30.06.2027","Betclic 1 Liga"
"218","Benedikt Zech",33,"Centre-Back","Pogon Szczecin",495,"30.06.2025","PKO BP Ekstraklasa"
"219","Benedykt Piotrowski",19,"Defensive Midfield","Stal Rzeszow",352,"30.06.2025","Betclic 1 Liga"
"220","Beniamin Czajka",24,"Centre-Back","Chojniczanka Chojnice",630,"-","Betclic 2 Liga"
"221","Benjamin Källman",26,"Centre-Forward","Cracovia",599,"30.06.2025","PKO BP Ekstraklasa"
"222","Bert Esselink",25,"Centre-Back","Stal Mielec",630,"30.06.2025","PKO BP Ekstraklasa"
"223","Blaz Kramer",28,"Centre-Forward","Legia Warszawa",659,"30.06.2025","PKO BP Ekstraklasa"
"224","Blazej Szczepanek",23,"Attacking Midfield","Chojniczanka Chojnice",610,"30.06.2025","Betclic 2 Liga"
"225","Blazej Tlaczala",17,"Midfield","LKS Lodz II",48,"-","Betclic 2 Liga"
"226","Bogdan Racovițan",24,"Centre-Back","Raków Częstochowa",263,"30.06.2025","PKO BP Ekstraklasa"
"227","Bogdan Sarnavskyi",29,"Goalkeeper","Lechia Gdansk",450,"30.06.2025","PKO BP Ekstraklasa"
"228","Bogdan Viunnyk",22,"Centre-Forward","Lechia Gdansk",300,"30.06.2028","PKO BP Ekstraklasa"
"229","Bojan Nastic",30,"Centre-Back","Wisla Plock",435,"30.06.2025","Betclic 1 Liga"
"230","Borja Galán",31,"Attacking Midfield","GKS Katowice",360,"30.06.2026","PKO BP Ekstraklasa"
"231","Borys Freilich",20,"Left-Back","Stal Stalowa Wola",0,"30.06.2026","Betclic 1 Liga"
"232","Borys Oleniak",18,"Goalkeeper","Warta Poznan",0,"-","Betclic 1 Liga"
"233","Branislav Pindroch",32,"Goalkeeper","Gornik Leczna",130,"30.06.2026","Betclic 1 Liga"
"234","Branislav Spacil",20,"Right Winger","Gornik Leczna",258,"30.06.2025","Betclic 1 Liga"
"235","Bright Ede",17,"Centre-Back","Zaglebie Lubin II",0,"30.06.2025","Betclic 2 Liga"
"236","Bruno Jordão",25,"Defensive Midfield","Radomiak Radom",224,"30.06.2026","PKO BP Ekstraklasa"
"237","Bruno Waclawek",22,"Left Midfield","Bruk-Bet Termalica Nieciecza",0,"30.06.2025","Betclic 1 Liga"
"238","Bryan Fiabema",21,"Centre-Forward","Lech Poznan",135,"30.06.2027","PKO BP Ekstraklasa"
"239","Bujar Pllana",22,"Centre-Back","Lechia Gdansk",270,"30.06.2028","PKO BP Ekstraklasa"
"240","Burak İnce",20,"Right Winger","Slask Wroclaw",321,"30.06.2025","PKO BP Ekstraklasa"
"241","Camilo Mena",21,"Right Winger","Lechia Gdansk",627,"30.06.2028","PKO BP Ekstraklasa"
"242","Capita",22,"Left Winger","Radomiak Radom",128,"30.06.2027","PKO BP Ekstraklasa"
"243","Cássio",25,"Centre-Back","Pogon Siedlce",620,"30.06.2025","Betclic 1 Liga"
"244","Cesar Peña",22,"Right-Back","Stal Rzeszow",158,"30.06.2025","Betclic 1 Liga"
"245","Cezary Bujalski",21,"Right Midfield","Pogon Siedlce",0,"30.06.2025","Betclic 1 Liga"
"246","Cezary Demianiuk",31,"Centre-Forward","Pogon Siedlce",746,"30.06.2025","Betclic 1 Liga"
