"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"787","Kamil Jakubczyk",20,"Attacking Midfield","Arka Gdynia",88,"30.06.2027","Betclic 1 Liga"
"788","Kamil Kargulewicz",23,"Right Midfield","Wisla Pulawy",630,"30.06.2025","Betclic 2 Liga"
"789","Kamil Koczy",21,"Left Winger","KKS 1925 Kalisz",157,"30.06.2025","Betclic 2 Liga"
"790","Kamil Kort",21,"Defensive Midfield","Kotwica Kolobrzeg",229,"30.06.2025","Betclic 1 Liga"
"791","Kamil Koscielny",33,"Centre-Back","Stal Rzeszow",720,"30.06.2025","Betclic 1 Liga"
"792","Kamil Kruk",24,"Centre-Back","Motor Lublin",43,"30.06.2025","PKO BP Ekstraklasa"
"793","Kamil Kumoch",23,"Central Midfield","Wisla Pulawy",668,"30.06.2025","Betclic 2 Liga"
"794","Kamil Lipinski",19,"Defensive Midfield","Ruch Chorzow",2,"30.06.2025","Betclic 1 Liga"
"795","Kamil Lukoszek",22,"Right Winger","Górnik Zabrze",404,"30.06.2025","PKO BP Ekstraklasa"
"796","Kamil Mazek",30,"Left Winger","Resovia Rzeszow",148,"30.06.2025","Betclic 2 Liga"
"797","Kamil Nowogonski",17,"Midfield","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"798","Kamil Odolak",22,"Centre-Forward","Pogon Grodzisk Mazowiecki",574,"30.06.2025","Betclic 2 Liga"
"799","Kamil Orlik",25,"Left Winger","Gornik Leczna",265,"30.06.2025","Betclic 1 Liga"
"800","Kamil Pajnowski",26,"Centre-Back","Stal Mielec",0,"30.06.2025","PKO BP Ekstraklasa"
"801","Kamil Pestka",26,"Centre-Back","Raków Częstochowa",428,"30.06.2025","PKO BP Ekstraklasa"
"802","Kamil Przysiecki",20,"Defensive Midfield","KKS 1925 Kalisz",0,"-","Betclic 2 Liga"
"803","Kamil Siudak",15,"Attack","Polonia Bytom",4,"-","Betclic 2 Liga"
"804","Kamil Sobczak",21,"Left-Back","Skra Czestochowa",428,"-","Betclic 2 Liga"
"805","Kamil Soberka",18,"Goalkeeper","Górnik Zabrze",0,"30.06.2025","PKO BP Ekstraklasa"
"806","Kamil Sochan",20,"Centre-Back","Zaglebie Lubin II",642,"-","Betclic 2 Liga"
"807","Kamil Weber",20,"Centre-Back","KKS 1925 Kalisz",0,"-","Betclic 2 Liga"
"808","Kamil Wojtkowski",26,"Attacking Midfield","Stal Stalowa Wola",679,"30.06.2025","Betclic 1 Liga"
"809","Kamil Wojtyra",26,"Centre-Forward","Polonia Bytom",720,"30.06.2025","Betclic 2 Liga"
"810","Kamil Zapolnik",31,"Centre-Forward","Bruk-Bet Termalica Nieciecza",437,"-","Betclic 1 Liga"
"811","Karl Wendt",19,"Attacking Midfield","Lechia Gdansk",191,"30.06.2028","PKO BP Ekstraklasa"
"812","Karol Chuchro",21,"Centre-Back","Resovia Rzeszow",0,"30.06.2025","Betclic 2 Liga"
"813","Karol Cywinski",NA,"Attack","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"814","Karol Czubak",24,"Centre-Forward","Arka Gdynia",562,"30.06.2025","Betclic 1 Liga"
"815","Karol Danielak",32,"Right Winger","Wieczysta Krakow",94,"30.06.2025","Betclic 2 Liga"
"816","Karol Dybowski",27,"Goalkeeper","Stal Mielec",0,"-","PKO BP Ekstraklasa"
"817","Karol Dziedzic",19,"Defensive Midfield","Wisla Kraków",93,"30.06.2026","Betclic 1 Liga"
"818","Karol Fietz",21,"Defensive Midfield","GKS Jastrzebie",534,"30.06.2026","Betclic 2 Liga"
"819","Karol Knap",22,"Defensive Midfield","Cracovia",45,"30.06.2026","PKO BP Ekstraklasa"
"820","Karol Krzywiecki",19,"Right-Back","Wieczysta Krakow",0,"30.06.2025","Betclic 2 Liga"
"821","Karol Lysiak",20,"Defensive Midfield","Stal Rzeszow",691,"30.06.2026","Betclic 1 Liga"
"822","Karol Noiszewski",24,"Centre-Back","Pogon Grodzisk Mazowiecki",605,"30.06.2025","Betclic 2 Liga"
"823","Karol Szablowski",18,"Midfield","Hutnik Krakow",75,"-","Betclic 2 Liga"
"824","Karol Szymanski",31,"Goalkeeper","Piast Gliwice",0,"30.06.2026","PKO BP Ekstraklasa"
"825","Karol Szymkowiak",24,"Goalkeeper","Polonia Bytom",135,"30.06.2026","Betclic 2 Liga"
"826","Kasjan Lipkowski",21,"Left-Back","Arka Gdynia",40,"30.06.2028","Betclic 1 Liga"
"827","Kelechukwu Ibe-Torti",22,"Left Winger","LKS Lodz II",76,"30.06.2025","Betclic 2 Liga"
"829","Kelechukwu Ibe-Torti",22,"Left Winger","LKS Lodz",65,"30.06.2025","Betclic 1 Liga"
"831","Kevin Szurlej",17,"Goalkeeper","Stal Mielec",0,"-","PKO BP Ekstraklasa"
"832","Kewin Komar",21,"Goalkeeper","Puszcza Niepolomice",630,"30.06.2026","PKO BP Ekstraklasa"
"833","Kike Hermoso",25,"Centre-Back","Arka Gdynia",199,"30.06.2025","Betclic 1 Liga"
"834","Koki Hinokio",23,"Attacking Midfield","Stal Mielec",428,"30.06.2025","PKO BP Ekstraklasa"
"835","Konrad Andrzejczak",28,"Left Winger","Polonia Bytom",472,"30.06.2026","Betclic 2 Liga"
"836","Konrad Forenc",32,"Goalkeeper","Podbeskidzie Bielsko-Biala",720,"30.06.2026","Betclic 2 Liga"
"837","Konrad Formela",20,"Defensive Midfield","Chojniczanka Chojnice",0,"-","Betclic 2 Liga"
"838","Konrad Golonka",17,"Goalkeeper","Cracovia",0,"30.06.2027","PKO BP Ekstraklasa"
"839","Konrad Gutowski",25,"Left Winger","Olimpia Grudziadz",0,"30.06.2025","Betclic 2 Liga"
"840","Konrad Jalocha",33,"Goalkeeper","Stal Mielec",0,"30.06.2025","PKO BP Ekstraklasa"
"841","Konrad Kareta",29,"Centre-Back","Rekord Bielsko-Biala",540,"-","Betclic 2 Liga"
"842","Konrad Kargul-Grobla",19,"Left Midfield","GKS Jastrzebie",123,"30.06.2026","Betclic 2 Liga"
"843","Konrad Kasolik",26,"Centre-Back","Wieczysta Krakow",0,"30.06.2026","Betclic 2 Liga"
"844","Konrad Labecki",21,"Defensive Midfield","Olimpia Elblag",0,"31.12.2024","Betclic 2 Liga"
"845","Konrad Magnuszewski",19,"Centre-Back","Skra Czestochowa",340,"30.06.2025","Betclic 2 Liga"
"846","Konrad Matuszewski",22,"Left-Back","Korona Kielce",630,"30.06.2025","PKO BP Ekstraklasa"
"847","Konrad Nowak",29,"Right Winger","Odra Opole",338,"30.06.2025","Betclic 1 Liga"
"848","Konrad Poprawa",26,"Centre-Back","Slask Wroclaw",0,"30.06.2025","PKO BP Ekstraklasa"
"849","Konrad Stepien",31,"Defensive Midfield","Puszcza Niepolomice",544,"30.06.2026","PKO BP Ekstraklasa"
"850","Kornel Lisman",18,"Right Winger","Lech Poznan",0,"30.06.2025","PKO BP Ekstraklasa"
"851","Kornel Osyra",31,"Centre-Back","Podbeskidzie Bielsko-Biala",720,"30.06.2025","Betclic 2 Liga"
"852","Kornel Rebisz",19,"Defensive Midfield","Resovia Rzeszow",312,"30.06.2025","Betclic 2 Liga"
"853","Kreshnik Hajrizi",25,"Centre-Back","Widzew Lodz",90,"30.06.2026","PKO BP Ekstraklasa"
"854","Kristoffer Hansen",30,"Left Winger","Jagiellonia Bialystok",727,"30.06.2025","PKO BP Ekstraklasa"
"855","Kristoffer Velde",24,"Left Winger","Lech Poznan",90,"30.06.2028","PKO BP Ekstraklasa"
"856","Kryspin Szczesniak",23,"Centre-Back","Górnik Zabrze",25,"30.06.2026","PKO BP Ekstraklasa"
"857","Krystian Getinger",36,"Left Midfield","Stal Mielec",290,"30.06.2026","PKO BP Ekstraklasa"
"858","Krystian Gryglak",19,"Defensive Midfield","Pogon Siedlce",0,"30.06.2025","Betclic 1 Liga"
"859","Krystian Harcinski",17,"Goalkeeper","Radomiak Radom",0,"30.06.2027","PKO BP Ekstraklasa"
"860","Krystian Kaczmarczyk",20,"Midfield","GKS Jastrzebie",0,"-","Betclic 2 Liga"
"861","Krystian Lelek",21,"Right Winger","Stal Stalowa Wola",306,"30.06.2025","Betclic 1 Liga"
"862","Krystian Michalski",20,"Goalkeeper","Swit Szczecin",0,"30.06.2025","Betclic 2 Liga"
"863","Krystian Mis",28,"Left Midfield","Pogon Siedlce",251,"30.06.2025","Betclic 1 Liga"
"864","Krystian Mucha",20,"Left Midfield","GKS Jastrzebie",510,"30.06.2025","Betclic 2 Liga"
"865","Krystian Okoniewski",19,"Centre-Forward","Radomiak Radom",12,"30.06.2026","PKO BP Ekstraklasa"
"867","Krystian Okoniewski",19,"Centre-Forward","Puszcza Niepolomice",0,"30.06.2026","PKO BP Ekstraklasa"
"869","Krystian Palacz",21,"Left-Back","Motor Lublin",0,"30.06.2026","PKO BP Ekstraklasa"
"870","Krystian Pomorski",28,"Attacking Midfield","Wisla Plock",217,"30.06.2025","Betclic 1 Liga"
"871","Krystian Rodzim",21,"Central Midfield","Hutnik Krakow",0,"-","Betclic 2 Liga"
"872","Krystian Stodulski",17,"Attacking Midfield","Hutnik Krakow",50,"-","Betclic 2 Liga"
"873","Krystian Szymocha",21,"Centre-Back","Resovia Rzeszow",360,"30.06.2025","Betclic 2 Liga"
"874","Krystian Tabara",23,"Attacking Midfield","Znicz Pruszkow",259,"30.06.2025","Betclic 1 Liga"
"875","Krystian Tofilski",17,"Midfield","Stal Stalowa Wola",0,"-","Betclic 1 Liga"
"876","Krystian Wachowiak",22,"Left-Back","Stal Rzeszow",250,"31.12.2025","Betclic 1 Liga"
"877","Krystian Wieczorek",22,"Goalkeeper","Podbeskidzie Bielsko-Biala",0,"30.06.2024","Betclic 2 Liga"
"878","Krystian Wrona",30,"Centre-Back","Rekord Bielsko-Biala",135,"30.06.2024","Betclic 2 Liga"
"879","Krzysztof Bakowski",21,"Goalkeeper","Stal Rzeszow",720,"30.06.2025","Betclic 1 Liga"
"880","Krzysztof Ciesielski",16,"Midfield","Skra Czestochowa",0,"-","Betclic 2 Liga"
"881","Krzysztof Danielewicz",33,"Attacking Midfield","Pogon Siedlce",184,"30.06.2026","Betclic 1 Liga"
"882","Krzysztof Drzazga",29,"Attacking Midfield","Miedz Legnica",315,"30.06.2025","Betclic 1 Liga"
"883","Krzysztof Falowski",17,"Centre-Back","LKS Lodz II",526,"30.06.2026","Betclic 2 Liga"
"884","Krzysztof Janiszewski",19,"Centre-Back","Chrobry Glogow",0,"-","Betclic 1 Liga"
"885","Krzysztof Kaminski",33,"Goalkeeper","Pogon Szczecin",0,"30.06.2026","PKO BP Ekstraklasa"
"886","Krzysztof Kolanko",18,"Right Winger","Zaglebie Lubin II",497,"30.06.2026","Betclic 2 Liga"
"887","Krzysztof Koton",21,"Defensive Midfield","Polonia Warsaw",306,"30.06.2025","Betclic 1 Liga"
"888","Krzysztof Kubica",24,"Defensive Midfield","Motor Lublin",178,"30.06.2026","PKO BP Ekstraklasa"
"889","Krzysztof Kurowski",18,"Left-Back","Slask Wroclaw",0,"30.06.2025","PKO BP Ekstraklasa"
"890","Krzysztof Machowski",21,"Right Winger","GKS Tychy",0,"30.06.2026","Betclic 1 Liga"
"891","Krzysztof Popiolek",18,"Goalkeeper","Pogon Siedlce",0,"30.06.2025","Betclic 1 Liga"
"892","Krzysztof Ropski",27,"Centre-Forward","Swit Szczecin",133,"-","Betclic 2 Liga"
"893","Krzysztof Toporkiewicz",22,"Attacking Midfield","KKS 1925 Kalisz",313,"-","Betclic 2 Liga"
"894","Krzysztof Wolkowicz",29,"Left Midfield","Stal Mielec",322,"30.06.2025","PKO BP Ekstraklasa"
"895","Krzysztof Wroblewski",22,"Goalkeeper","Chrobry Glogow",630,"30.06.2026","Betclic 1 Liga"
"896","Krzysztof Zerdka",33,"Goalkeeper","Rekord Bielsko-Biala",135,"-","Betclic 2 Liga"
"897","Ksawery Kukulka",20,"Left Midfield","Wisla Plock",186,"30.06.2025","Betclic 1 Liga"
"898","Ksawery Kwiatkowski",21,"Centre-Back","Ruch Chorzow",1,"30.06.2025","Betclic 1 Liga"
"899","Kuba Bochniarz",15,"Goalkeeper","Pogon Szczecin",0,"30.06.2026","PKO BP Ekstraklasa"
"900","Kuba Wisniewski",20,"Right-Back","Wisla Kraków",28,"30.06.2025","Betclic 1 Liga"
"901","Lamine Coulibaly",19,"Right Midfield","LKS Lodz II",508,"-","Betclic 2 Liga"
"902","Lamine Diaby-Fadiga",23,"Centre-Forward","Jagiellonia Bialystok",345,"30.06.2026","PKO BP Ekstraklasa"
"903","Lazaros Lamprou",26,"Right Midfield","Raków Częstochowa",122,"30.06.2027","PKO BP Ekstraklasa"
"904","Leândro",35,"Right Winger","Radomiak Radom",300,"31.12.2024","PKO BP Ekstraklasa"
"905","Léo Borges",23,"Centre-Back","Pogon Szczecin",402,"30.06.2027","PKO BP Ekstraklasa"
"906","Leo Przybylak",20,"Goalkeeper","Warta Poznan",0,"30.06.2026","Betclic 1 Liga"
"907","Leon Krekovic",24,"Right Winger","Kotwica Kolobrzeg",466,"30.06.2025","Betclic 1 Liga"
"908","Leon Zietek",18,"Left-Back","Kotwica Kolobrzeg",68,"30.06.2025","Betclic 1 Liga"
"909","Leonard Brykowski",19,"Right Midfield","Wisla Pulawy",10,"30.06.2025","Betclic 2 Liga"
"910","Leonardo Koutris",29,"Left-Back","Pogon Szczecin",589,"30.06.2026","PKO BP Ekstraklasa"
"911","Leonardo Rocha",27,"Centre-Forward","Radomiak Radom",540,"30.06.2026","PKO BP Ekstraklasa"
"912","Levent Gülen",30,"Centre-Back","LKS Lodz",629,"30.06.2026","Betclic 1 Liga"
"913","Levis Pitan",19,"Centre-Back","Piast Gliwice",0,"30.06.2027","PKO BP Ekstraklasa"
"914","Linus Rönnberg",21,"Left Winger","Podbeskidzie Bielsko-Biala",522,"30.06.2025","Betclic 2 Liga"
"915","Linus Wahlqvist",27,"Right-Back","Pogon Szczecin",623,"30.06.2026","PKO BP Ekstraklasa"
"916","Lionel Abate",23,"Centre-Forward","Podbeskidzie Bielsko-Biala",0,"30.06.2024","Betclic 2 Liga"
"917","Lirim Kastrati",25,"Right-Back","Widzew Lodz",327,"30.06.2026","PKO BP Ekstraklasa"
"918","Lisandro Semedo",28,"Left Winger","Wieczysta Krakow",393,"30.06.2026","Betclic 2 Liga"
"919","Louis D'Arrigo",22,"Defensive Midfield","Lechia Gdansk",77,"30.06.2027","PKO BP Ekstraklasa"
"920","Loup-Diwan Gueho",20,"Centre-Back","Lechia Gdansk",198,"30.06.2025","PKO BP Ekstraklasa"
"921","Lucas Ramos",29,"Defensive Midfield","Kotwica Kolobrzeg",0,"-","Betclic 1 Liga"
"922","Lucio Ceci",19,"Left Winger","Resovia Rzeszow",0,"-","Betclic 2 Liga"
"923","Lucjan Klisiewicz",22,"Centre-Forward","Podbeskidzie Bielsko-Biala",409,"30.06.2025","Betclic 2 Liga"
"925","Lucjan Klisiewicz",22,"Centre-Forward","Puszcza Niepolomice",9,"30.06.2025","PKO BP Ekstraklasa"
"927","Lucjan Zielinski",26,"Left Winger","Polonia Bytom",378,"30.06.2025","Betclic 2 Liga"
"928","Luis Fernández",30,"Attacking Midfield","Lechia Gdansk",0,"30.06.2026","PKO BP Ekstraklasa"
"929","Luís Mata",27,"Left-Back","Zaglebie Lubin",618,"30.06.2025","PKO BP Ekstraklasa"
"930","Luís Silva",25,"Centre-Back","Widzew Lodz",212,"30.06.2025","PKO BP Ekstraklasa"
"931","Luizão",26,"Defensive Midfield","Radomiak Radom",172,"30.06.2025","PKO BP Ekstraklasa"
"932","Luka Zahovic",28,"Centre-Forward","Górnik Zabrze",302,"30.06.2026","PKO BP Ekstraklasa"
"933","Lukas Ambros",20,"Attacking Midfield","Górnik Zabrze",257,"30.06.2027","PKO BP Ekstraklasa"
"934","Lukas Hrnciar",27,"Defensive Midfield","Pogon Siedlce",668,"30.06.2025","Betclic 1 Liga"
"935","Lukas Klemenz",28,"Centre-Back","GKS Katowice",540,"30.06.2026","PKO BP Ekstraklasa"
"936","Lukas Podolski",39,"Left Winger","Górnik Zabrze",361,"30.06.2025","PKO BP Ekstraklasa"
"937","Lukas Spendlhofer",31,"Centre-Back","Bruk-Bet Termalica Nieciecza",671,"30.06.2025","Betclic 1 Liga"
"938","Lukasz Bejger",22,"Centre-Back","Slask Wroclaw",0,"30.06.2025","PKO BP Ekstraklasa"
"939","Lukasz Boguslawski",31,"Centre-Back","Olimpia Elblag",606,"30.06.2025","Betclic 2 Liga"
"940","Lukasz Bomba",20,"Goalkeeper","LKS Lodz",630,"30.06.2027","Betclic 1 Liga"
"941","Lukasz Furtak",28,"Centre-Back","Stal Stalowa Wola",619,"30.06.2025","Betclic 1 Liga"
"942","Lukasz Gerstenstein",19,"Right-Back","Slask Wroclaw",75,"30.06.2027","PKO BP Ekstraklasa"
"943","Lukasz Gora",30,"Centre-Back","Ruch Chorzow",185,"30.06.2026","Betclic 1 Liga"
"944","Lukasz Kabaj",18,"Centre-Back","Wisla Pulawy",720,"30.06.2025","Betclic 2 Liga"
"945","Lukasz Kedziora",26,"Centre-Back","Hutnik Krakow",128,"-","Betclic 2 Liga"
"946","Lukasz Kosakiewicz",33,"Right-Back","Kotwica Kolobrzeg",740,"30.06.2025","Betclic 1 Liga"
"947","Lukasz Moneta",30,"Left Midfield","Ruch Chorzow",294,"30.06.2025","Betclic 1 Liga"
"948","Lukasz Norkowski",24,"Defensive Midfield","Warta Poznan",189,"30.06.2025","Betclic 1 Liga"
"949","Lukasz Pietras",34,"Defensive Midfield","Wieczysta Krakow",0,"30.06.2025","Betclic 2 Liga"
"950","Lukasz Sekulski",33,"Centre-Forward","Wisla Plock",546,"30.06.2025","Betclic 1 Liga"
"951","Lukasz Solowiej",35,"Centre-Back","Puszcza Niepolomice",0,"30.06.2025","PKO BP Ekstraklasa"
"952","Lukasz Soszynski",26,"Defensive Midfield","Stal Stalowa Wola",510,"30.06.2025","Betclic 1 Liga"
"953","Lukasz Swiety",24,"Attacking Midfield","Swit Szczecin",376,"30.06.2025","Betclic 2 Liga"
"954","Lukasz Trepka",17,"Centre-Back","GKS Katowice",0,"30.06.2026","PKO BP Ekstraklasa"
"955","Lukasz Uchnast",19,"Defensive Midfield","Zaglebie Sosnowiec",323,"30.06.2027","Betclic 2 Liga"
"956","Lukasz Wiech",27,"Centre-Back","Znicz Pruszkow",720,"-","Betclic 1 Liga"
"957","Lukasz Wolsztynski",29,"Attacking Midfield","Stal Mielec",190,"30.06.2025","PKO BP Ekstraklasa"
"958","Lukasz Zjawinski",23,"Centre-Forward","Polonia Warsaw",342,"30.06.2026","Betclic 1 Liga"
"959","Lukasz Zwolinski",31,"Centre-Forward","Wisla Kraków",355,"30.06.2026","Betclic 1 Liga"
"960","Luquinhas",27,"Attacking Midfield","Legia Warszawa",847,"30.06.2025","PKO BP Ekstraklasa"
"961","Maciej Ambrosiewicz",26,"Defensive Midfield","Bruk-Bet Termalica Nieciecza",720,"30.06.2025","Betclic 1 Liga"
"962","Maciej Bialczyk",21,"Right-Back","KKS 1925 Kalisz",206,"30.06.2025","Betclic 2 Liga"
"963","Maciej Dampc",29,"Centre-Back","Kotwica Kolobrzeg",64,"30.06.2025","Betclic 1 Liga"
"964","Maciej Domanski",33,"Attacking Midfield","Stal Mielec",606,"30.06.2025","PKO BP Ekstraklasa"
"965","Maciej Famulak",24,"Defensive Midfield","Wisla Plock",122,"30.06.2026","Betclic 1 Liga"
"966","Maciej Firlej",27,"Centre-Forward","Warta Poznan",509,"30.06.2026","Betclic 1 Liga"
"967","Maciej Gorski",34,"Centre-Forward","Resovia Rzeszow",450,"30.06.2025","Betclic 2 Liga"
"968","Maciej Gostomski",35,"Goalkeeper","Wisla Plock",630,"30.06.2026","Betclic 1 Liga"
"969","Maciej Kielkucki",21,"Right-Back","Wisla Pulawy",6,"30.06.2025","Betclic 2 Liga"
"970","Maciej Kikolski",20,"Goalkeeper","Radomiak Radom",450,"30.06.2025","PKO BP Ekstraklasa"
"971","Maciej Kowalski-Haberek",30,"Centre-Back","Polonia Warsaw",6,"30.06.2025","Betclic 1 Liga"
"972","Maciej Koziara",28,"Central Midfield","Swit Szczecin",530,"-","Betclic 2 Liga"
"973","Maciej Krakowiak",31,"Goalkeeper","KKS 1925 Kalisz",450,"30.06.2025","Betclic 2 Liga"
"974","Maciej Krolikowski",19,"Midfield","Hutnik Krakow",0,"30.06.2025","Betclic 2 Liga"
"975","Maciej Mas",23,"Centre-Forward","Olimpia Grudziadz",540,"30.06.2026","Betclic 2 Liga"
"976","Maciej Rogowski",18,"Defender","Zaglebie Lubin II",14,"-","Betclic 2 Liga"
"977","Maciej Rosolek",23,"Centre-Forward","Piast Gliwice",302,"30.06.2025","PKO BP Ekstraklasa"
"978","Maciej Sadlok",35,"Centre-Back","Ruch Chorzow",705,"30.06.2025","Betclic 1 Liga"
"979","Maciej Spychala",26,"Central Midfield","Swit Szczecin",20,"30.06.2026","Betclic 2 Liga"
"980","Maciej Sypniewski",17,"Midfield","Znicz Pruszkow",0,"-","Betclic 1 Liga"
"981","Maciej Tobojka",18,"Midfield","Olimpia Elblag",101,"-","Betclic 2 Liga"
"982","Maciej Urbanczyk",29,"Defensive Midfield","Hutnik Krakow",675,"30.06.2025","Betclic 2 Liga"
"983","Maciej Urbanski",17,"Defender","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"984","Maciej Wojciechowski",17,"Attacking Midfield","Pogon Szczecin",0,"30.06.2026","PKO BP Ekstraklasa"
"985","Maciej Wolski",27,"Left Midfield","Bruk-Bet Termalica Nieciecza",720,"30.06.2025","Betclic 1 Liga"
"986","Maciej Wrobel",21,"Attacking Midfield","Skra Czestochowa",318,"-","Betclic 2 Liga"
"987","Maciej Zurawski",23,"Central Midfield","Warta Poznan",170,"30.06.2025","Betclic 1 Liga"
"988","Maksym Khlan",21,"Left Winger","Lechia Gdansk",314,"30.06.2025","PKO BP Ekstraklasa"
"989","Maksymilian Banaszewski",29,"Left Winger","Odra Opole",570,"30.06.2025","Betclic 1 Liga"
"990","Maksymilian Brejnak",19,"Centre-Back","Znicz Pruszkow",0,"31.12.2024","Betclic 1 Liga"
"991","Maksymilian Ciolek",21,"Goalkeeper","KKS 1925 Kalisz",270,"30.06.2025","Betclic 2 Liga"
"992","Maksymilian Dziuba",19,"Attacking Midfield","GKS Tychy",358,"30.06.2025","Betclic 1 Liga"
"993","Maksymilian Hebel",27,"Right Winger","Resovia Rzeszow",0,"30.06.2025","Betclic 2 Liga"
"994","Maksymilian Kaczmarek",19,"Centre-Forward","KKS 1925 Kalisz",0,"-","Betclic 2 Liga"
"995","Maksymilian Manikowski",21,"Goalkeeper","Podbeskidzie Bielsko-Biala",0,"30.06.2025","Betclic 2 Liga"
"996","Maksymilian Pingot",21,"Centre-Back","Lech Poznan",45,"30.06.2028","PKO BP Ekstraklasa"
"997","Maksymilian Rozwandowicz",30,"Defensive Midfield","LKS Lodz II",653,"30.06.2026","Betclic 2 Liga"
"998","Maksymilian Sitek",23,"Right Winger","LKS Lodz",94,"30.06.2025","Betclic 1 Liga"
"999","Maksymilian Stangret",19,"Centre-Forward","Skra Czestochowa",461,"30.06.2025","Betclic 2 Liga"
"1000","Maksymilian Stryjek",28,"Goalkeeper","Jagiellonia Bialystok",180,"30.06.2026","PKO BP Ekstraklasa"
"1001","Maksymilian Szady",17,"Centre-Back","Stal Mielec",0,"-","PKO BP Ekstraklasa"
"1002","Maksymilian Tkocz",22,"Centre-Back","Chojniczanka Chojnice",90,"30.06.2026","Betclic 2 Liga"
"1003","Mamin Sanyang",21,"Right Winger","GKS Tychy",449,"30.06.2026","Betclic 1 Liga"
"1004","Manu Sánchez",28,"Right-Back","Górnik Zabrze",523,"30.06.2026","PKO BP Ekstraklasa"
"1005","Manuel Torres",33,"Right Winger","Wieczysta Krakow",476,"30.06.2025","Betclic 2 Liga"
"1006","Marc Carbó",30,"Defensive Midfield","Wisla Kraków",1010,"30.06.2026","Betclic 1 Liga"
"1007","Marc Gual",28,"Centre-Forward","Legia Warszawa",714,"30.06.2026","PKO BP Ekstraklasa"
"1008","Marc Navarro",29,"Right-Back","Arka Gdynia",526,"30.06.2025","Betclic 1 Liga"
"1009","Marcel Bajko",18,"Left-Back","Lechia Gdansk",0,"31.12.2025","PKO BP Ekstraklasa"
"1010","Marcel Blachewicz",21,"Left-Back","GKS Tychy",371,"30.06.2026","Betclic 1 Liga"
"1011","Marcel Bykowski",19,"Left Winger","Kotwica Kolobrzeg",679,"30.06.2025","Betclic 1 Liga"
"1012","Marcel Gasior",30,"Defensive Midfield","Motor Lublin",108,"30.06.2025","PKO BP Ekstraklasa"
"1013","Marcel Gawlowski",17,"Goalkeeper","Chrobry Glogow",0,"-","Betclic 1 Liga"
"1014","Marcel Gorski",22,"Attacking Midfield","Hutnik Krakow",281,"-","Betclic 2 Liga"
"1015","Marcel Kasprzak",21,"Central Midfield","Swit Szczecin",0,"-","Betclic 2 Liga"
"1016","Marcel Krajewski",19,"Right-Back","Widzew Lodz",303,"30.06.2027","PKO BP Ekstraklasa"
"1017","Marcel Lubik",20,"Goalkeeper","GKS Tychy",720,"30.06.2025","Betclic 1 Liga"
"1018","Marcel Mansfeld",23,"Centre-Forward","Miedz Legnica",115,"30.06.2026","Betclic 1 Liga"
"1019","Marcel Masar",18,"Centre-Forward","Gornik Leczna",0,"30.06.2025","Betclic 1 Liga"
"1020","Marcel Matusiak",17,"Goalkeeper","LKS Lodz II",0,"-","Betclic 2 Liga"
"1021","Marcel Mendes-Dudzinski",19,"Goalkeeper","Legia Warszawa",0,"30.05.2028","PKO BP Ekstraklasa"
"1022","Marcel Misztal",20,"Attacking Midfield","Podbeskidzie Bielsko-Biala",335,"30.06.2026","Betclic 2 Liga"
"1023","Marcel Owczarek",19,"Centre-Back","KKS 1925 Kalisz",0,"-","Betclic 2 Liga"
"1024","Marcel Pieczek",23,"Left-Back","Korona Kielce",329,"30.06.2026","PKO BP Ekstraklasa"
"1025","Marcel Potoczny",18,"Goalkeeper","Ruch Chorzow",0,"30.06.2026","Betclic 1 Liga"
"1026","Marcel Predenkiewicz",20,"Left Midfield","Polonia Warsaw",262,"30.06.2025","Betclic 1 Liga"
"1027","Marcel Regula",17,"Defensive Midfield","Zaglebie Lubin",0,"30.06.2026","PKO BP Ekstraklasa"
"1029","Marcel Regula",17,"Defensive Midfield","Zaglebie Lubin II",137,"30.06.2026","Betclic 2 Liga"
"1031","Marcel Ruszel",20,"Defensive Midfield","Stal Stalowa Wola",74,"-","Betclic 1 Liga"
"1032","Marcel Sawicki",18,"Defender","Hutnik Krakow",0,"-","Betclic 2 Liga"
"1033","Marcel Stefaniak",24,"Left-Back","Chojniczanka Chojnice",630,"-","Betclic 2 Liga"
"1034","Marcel Szymanski",19,"Centre-Forward","KKS 1925 Kalisz",120,"30.06.2025","Betclic 2 Liga"
"1035","Marcel Wedrychowski",22,"Right Winger","Pogon Szczecin",0,"30.06.2026","PKO BP Ekstraklasa"
"1036","Marcel Wszolek",22,"Right-Back","LKS Lodz",0,"30.06.2025","Betclic 1 Liga"
"1038","Marcel Wszolek",22,"Right-Back","LKS Lodz II",616,"30.06.2025","Betclic 2 Liga"
"1040","Marcel Zapytowski",23,"Goalkeeper","Korona Kielce",0,"30.06.2025","PKO BP Ekstraklasa"
"1041","Marcel Zylla",24,"Attacking Midfield","Wisla Pulawy",559,"30.06.2025","Betclic 2 Liga"
"1042","Marcin Biernat",32,"Centre-Back","Podbeskidzie Bielsko-Biala",603,"30.06.2026","Betclic 2 Liga"
"1043","Marcin Budzinski",34,"Attacking Midfield","Hutnik Krakow",255,"-","Betclic 2 Liga"
